Region,MainIsland,TotalBudget,MedianSavings,AvgDelay,HighDelayPct,EfficiencyScore
National Capital Region,Luzon,37374807552.77,323263.60,274.59,99.87,100.00
Region X,Mindanao,21286351834.06,130658.91,363.88,100.00,30.50
Region VIII,Visayas,19267926730.70,61771.20,261.93,100.00,20.03
Region IX,Mindanao,4292690070.72,49482.39,347.53,100.00,12.09
Region XII,Mindanao,13078767779.93,24725.41,268.97,100.00,7.81
Region II,Luzon,22492433992.21,10000.00,255.12,100.00,3.33
Region IV-B,Luzon,22432789116.38,2975.63,268.40,99.70,0.94
Region III,Luzon,62517911971.79,2244.01,215.60,100.00,0.88
Cordillera Administrative Region,Luzon,14947365548.18,2484.11,241.37,100.00,0.87
Region I,Luzon,24274224108.76,1927.34,229.37,98.62,0.71
Region IV-A,Luzon,35028669726.20,788.42,256.70,99.86,0.26
Region VI,Visayas,19178049284.75,845.39,313.51,100.00,0.23
Region V,Luzon,48606662906.94,569.85,236.80,100.00,0.20
Region XIII,Mindanao,17957502587.51,202.65,330.64,100.00,0.05
Region VII,Visayas,27357359277.05,28.43,250.61,99.79,0.01
Region XI,Mindanao,17878556404.67,0.31,291.57,100.00,0.00
